FICTMTRS.DAT for the date 2018-01-01 to  2018-05-31
----------------------------------------------------

Loc_Id    Meter_No            Description

FK-91     FKK-TOT-LN          FARAKKA NET GENERATION (LINES & ATR)

FK-93     FKK-TOT-CL          FARAKKA NET GENERATION (LINES & ATR CHK)

FK-81     FKK_GT_ST1          FARAKKA GROSS GENERATION FOR STG-1

FK-82     FKK_GT_TOT          FARAKKA TOTAL GROSS GENERATION

FK-94     FKK-STG_2           FARAKKA STG-2 NET INJECTION

FK-92     FKK_STG_1           FARAKKA STG-1 NET INJECTION

KH-81     KHL-GT_ST1          KAHALGAON GROSS GENERATION FOR STG-1

KG-81     KHL_GT_ST2          KAHALGAON GROSS GENERATION FOR STG-2

KH-82     KHL_GT_TOT          KAHALGAON TOTAL GROSS GENERATION

KH-85     KHL-TOT-L           KAHALGAON NET GENERATION(EX BUS)

KH-86     KHL-TOT-CL          KAHALGAON NET GENERATION(EX BUS CHK)

KH-89     KHL_COLONY          KAHALGAON COLONY LOAD TOTAL

KH-90     KHL_CY_STG-1        KAHALGAON COLONY LOAD STG-1

KH-92     KHL_IN_ST1          KAHALGAON NET INJECTION BY STG-1 (EX-BUS)

KG-92     KHL_IN_ST2          KAHALGAON NET INJECTION BY STG-2 (EX BUS)

TL-94     TAL_SOL_GN          TALCHER SOLAR NET GENERATION MAIN

TL-95     TAL_SOL_STBY        TALCHER SOLAR NET GENERATION STDBY

TL-81     GCO-EX-L            EXCHANGE WITH GRIDCO ALL LINES

TL-82     GCO-EX-220          EXCHANGE WITH GRIDCO 220 KV LINES

TL-92     TAL-TOT-L           TALCHER NET GENERATION (ALL LINES)

TL-93     TAL-TOT-CL          TALCHER NET GENERATION (ALL LINES CHK)

BH-92     BRH-TOT-GEN         BARH NET GENERATION (ALL LINES)

BH-93     BRH-INF-GEN         BARH INFIRM GENERATION

BH-94     BRH-FIRM-GN         BARH FIRM GENERATION

DP-92     DRLP_NET_GN         SARLIPALLI NET GENERATION(LINE MAIN)

