MASTER.DAT for the date 2018-01-01 to  2018-01-14
----------------------------------------------------

Loc_Id    Meter_No         CTR            PTR                    Place Of Installation

FK-01     NP-7960-A        500            3636.3636              400 KV SIDE OF FARAKKA GT-1

FK-02     NP-7986-A        500            3636.3636              400 KV SIDE OF FARAKKA GT-2

FK-03     NP-7928-A        500            3636.3636              400 KV SIDE OF FARAKKA GT-3

FK-04     NP-8706-A        1000           3636.3636              400 KV SIDE OF FARAKKA GT-4

FK-05     NP-8707-A        1000           3636.3636              400 KV SIDE OF FARAKKA GT-5

FK-06     NP-0575-A        500            3636.3636              400 KV SIDE OF FARAKKA TIE TRANS.-1

FK-07     NP-0565-A        500            3636.3636              400 KV SIDE OF FARAKKA TIE TRANS.-2

FK-08     NP-5202-A        1000           3636.3636              400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-1

FK-09     NP-5200-A        1000           3636.3636              400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-2

FK-10     NP-5228-A        1000           3636.3636              400 KV FARAKKA (NTPC)-DURGAPUR (PG)-1

FK-11     NP-5208-A        1000           3636.3636              400 KV FARAKKA (NTPC)-DURGAPUR (PG)-2

FK-12     NP-5204-A        2000           3636.3636              400 KV FARAKKA (NTPC)-MALDA (PG) -1(MAIN)

FK-13     NP-5223-A        2000           3636.3636              400 KV FARAKKA (NTPC)-MALDA (PG) -2(MAIN)

FK-14     NP-5211-A        1000           2000.0000              220 KV FARAKKA (NTPC)-LALMATIA (JSEB)

FK-15     NP-5221-A        2000           3636.3636              400 KV FARAKKA (NTPC)-BERHAMPRE (PG)(MAIN)

FK-16     NP-5213-A        2000           3636.3636              400 KV FARAKKA (NTPC)-SAGARDIGHI(WBSETCL)(MAIN)

FK-17     NP-8705-A        2000           3636.3636              400 KV SIDE OF 400/220 KV FARAKKA ATR (MAIN)

FK-18     NP-0576-A        500            3636.3636              400 KV SIDE OF FARAKKA TIE TRANS.-3

FK-21     NP-5220-A        2000           3636.3636              400 KV FARAKKA (NTPC)-BERHAMPRE (PG)(CHK MTR)

FK-22     NP-5214-A        2000           3636.3636              400 KV FARAKKA (NTPC)-SAGARDIGHI (CHK MTR)

FK-23     NP-5222-A        1000           3636.3636              400 KV FARAKKA (NTPC)-DURGAPUR(PG)-1(CHK MTR)

FK-24     NP-5209-A        1000           3636.3636              400 KV FARAKKA (NTPC)-DURGAPUR(PG)-2(CHK MTR)

FK-25     NP-5203-A        1000           3636.3636              400 KV FARAKKA(NTPC)-KAHALGAON(NTPC)-1(CHK MTR)

FK-26     NP-5201-A        1000           3636.3636              400 KV FARAKKA(NTPC)-KAHALGAON(NTPC)-2(CHK MTR)

FK-27     NP-8704-A        2000           3636.3636              400 KV SIDE OF 400/220 KV FARAKKA ATR (CHK MTR)

FK-28     NP-5229-A        2000           3636.3636              400 KV FARAKKA (NTPC)- MALDA (PG) -1 (CHK MTR)

FK-29     NP-5224-A        2000           3636.3636              400 KV FARAKKA (NTPC)- MALDA (PG) -2 (CHK MTR)

FK-30     NP-5216-A        1000           3636.3636              400 KV SIDE OF FARAKKA GT-6

FK-31     NP-5215-A        1250           300.0000               33 KV SIDE OF FARAKKA STN. TRF 5

FK-32     NP-5207-A        1000           3636.3636              400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-3(MAIN)

FK-33     NP-5218-A        1000           3636.3636              400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-3(CHECK)

FK-34     NP-5219-A        1000           3636.3636              400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-4(MAIN)

FK-35     NP-5217-A        1000           3636.3636              400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-4(CHECK)

FK-36     ER-1142-A        1000           3636.3636              400 KV FARAKKA(NTPC)-GOKARNA(WB)-1 (MAIN)

FK-37     ER-1149-A        1000           3636.3636              400 KV FARAKKA(NTPC)-GOKARNA(WB)-1 (CHECK)

FK-38     NP-8773-A        1000           3636.3636              400 KV FARAKKA(NTPC)-GOKARNA(WB)-2 (MAIN)

FK-39     NP-8772-A        1000           3636.3636              400 KV FARAKKA(NTPC)-GOKARNA(WB)-2 (CHECK)

KH-01     NP-5851-A        500            3636.3636              400 KV SIDE OF KAHALGAON GT-1

KH-02     NP-5250-A        500            3636.3636              400 KV SIDE OF KAHALGAON GT-2

KH-03     NP-5850-A        500            3636.3636              400 KV SIDE OF KAHALGAON GT-3

KH-04     NP-5859-A        500            3636.3636              400 KV SIDE OF KAHALGAON GT-4

KH-05     NP-5262-A        500            1200.0000              132 KV SIDE OF KAHALGAON STN TRANS-1

KH-06     NP-5256-A        500            1200.0000              132 KV SIDE OF KAHALGAON STN TRANS-2

KH-07     NP-5258-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-FARAKKA(NTPC)-1

KH-08     NP-5254-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-FARAKKA(NTPC)-2

KH-09     NP-5247-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-MAITHON (PG) -1

KH-10     NP-5257-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-MAITHON (PG) -2

KH-11     NP-5246-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-LAKHISARAI(PG)-1(MAIN)

KH-12     NP-8676-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-LAKHISARAI(PG)-2(MAIN)

KH-13     NP-5239-A        500            1200.0000              132 KV KAHALGAON (NTPC)-SABOUR (BSPHCL)

KH-14     NP-5244-A        500            1200.0000              132 KV KAHALGAON (NTPC)-LALMATIA (JSEB)

KH-15     NP-5837-A        500            3636.3636              400 KV SIDE OF K'GAON 400/132 ATR-I 200 MVA

KH-16     NP-5251-A        500            3636.3636              400 KV SIDE OF K'GAON 400/132 ATR-II 200MVA

KH-17     NP-5255-A        500            1200.0000              132 KV SIDE OF COLONY TRANSFORMER-I

KH-18     NP-5267-A        500            1200.0000              132 KV SIDE OF COLONY TRANSFORMER-II

KH-19     NP-5261-A        500            1200.0000              132 KV KAHALGAON(NTPC)-KAHALGAON (BSPHCL)

KH-21     NP-5259-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-FARAKKA(NTPC)-1(CHK MTR)

KH-22     NP-5260-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-FARAKKA(NTPC)-2(CHK MTR)

KH-23     NP-5242-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-MAITHON(PG)-1(CHK MTR)

KH-24     NP-5253-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-MAITHON(PG)-2(CHK MTR)

