LOC_ID	METER NO.    CTR     PTR	     PLACE OF INSTALLATION

FK-01   ER-1649-A    500     3636.3636    400 KV SIDE OF FARAKKA(NTPC) GT-1
FK-02   ER-1646-A    500     3636.3636    400 KV SIDE OF FARAKKA(NTPC) GT-2
FK-03   ER-1643-A    500     3636.3636    400 KV SIDE OF FARAKKA(NTPC) GT-3
FK-04   NP-8706-A    1000    3636.3636    400 KV SIDE OF FARAKKA(NTPC) GT-4
FK-05   ER-2033-A    1000    3636.3636    400 KV SIDE OF FARAKKA(NTPC) GT-5
FK-06	ER-1709-A    500     3636.3636	  400 KV SIDE OF FARAKKA(NTPC) TIE TRANS.-1
FK-07	ER-1610-A    500     3636.3636	  400 KV SIDE OF FARAKKA(NTPC) TIE TRANS.-2
FK-08   NP-5202-A    2000    3636.3636    400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-1
FK-09   NP-5200-A    1000    3636.3636    400 KV FARAKKA (NTPC)-KAHALGAON (NTPC)-2
FK-12   ER-2029-A    2000    3636.3636    400 KV FARAKKA (NTPC)-MALDA (PG) -1(MAIN)
FK-13   ER-2030-A    2000    3636.3636    400 KV FARAKKA (NTPC)-MALDA (PG) -2(MAIN)
FK-14   NP-5211-A    1000    2000.0000    220 KV FARAKKA (NTPC)-LALMATIA (JSEB)
FK-15   ER-1632-A    2000    3636.3636    400 KV FARAKKA (NTPC)-SAGARDIGHI(WB)-2(MAIN) 
FK-16   ER-2112-A    2000    3636.3636    400 KV FARAKKA (NTPC)-SAGARDIGHI(WB)-1(MAIN)
FK-17   NP-8705-A    2000    3636.3636    400 KV SIDE OF 400/220 KV FARAKKA(NTPC) ATR (MAIN)
FK-18	ER-1682-A    500     3636.3636	  400 KV SIDE OF FARAKKA(NTPC) TIE TRANS.-3
FK-19	ER-2098-A    600     3636.3636	  400 KV SIDE OF FARAKKA(NTPC) 400/220 KV 315 MVA ICT-2
FK-20	ER-2097-A    1000    2000.0000	  200 KV SIDE OF FARAKKA(NTPC) 400/220 KV 315 MVA ICT-2
FK-21   ER-2107-A    2000    3636.3636    400 KV FARAKKA (NTPC)-SAGARDIGHI-2(CHK MTR)
FK-22   NP-5214-A    2000    3636.3636    400 KV FARAKKA (NTPC)-SAGARDIGHI-1 (CHK MTR)
